14-Digit PIN #,Street Number,Dir.,Street Name,Type,Sq. Ft.,Ward,Community Area,Zoning Classification,TIF District,Location
20-15-301-004-0000,5919,S,WABASH,AVE,4035,20,WASHINGTON PARK,RT-4,Washington Park,"5919 S WABASH AVE
CHICAGO, IL
(41.786759, -87.623889)"
20-15-301-006-0000,5943,S,WABASH,AVE,7996,20,WASHINGTON PARK,RT-4,Washington Park,"5943 S WABASH AVE
CHICAGO, IL
(41.786106, -87.623873)"
20-15-301-007-0000,5947,S,WABASH,AVE,7993,20,WASHINGTON PARK,RT-4,Washington Park,"5947 S WABASH AVE
CHICAGO, IL
(41.785988, -87.62387)"
20-15-301-008-0000,5953,S,WABASH,AVE,15989,20,WASHINGTON PARK,RT-4,Washington Park,"5953 S WABASH AVE
CHICAGO, IL
(41.785751, -87.623865)"
20-15-301-009-0000,5900,S,MICHIGAN,AVE,10069,20,WASHINGTON PARK,RM-5,Washington Park,"5900 S MICHIGAN AVE
CHICAGO, IL
(41.787456, -87.622275)"
20-15-301-010-0000,5908,S,MICHIGAN,AVE,5515,20,WASHINGTON PARK,RM-5,Washington Park,"5908 S MICHIGAN AVE
CHICAGO, IL
(41.787109, -87.622266)"
20-15-302-003-0000,5921,S,MICHIGAN,AVE,23054,20,WASHINGTON PARK,RM-5,Washington Park,"5921 S MICHIGAN AVE
CHICAGO, IL
(41.786574, -87.622261)"
20-15-302-007-0000,5953,S,MICHIGAN,AVE,13939,20,WASHINGTON PARK,RM-5,Washington Park,"5953 S MICHIGAN AVE
CHICAGO, IL
(41.785794, -87.622258)"
20-15-303-002-0000,209,E,59TH,ST,1754,20,WASHINGTON PARK,RM-5,Washington Park,"209 E 59TH ST
CHICAGO, IL
(41.787489, -87.620079)"
20-15-303-007-0000,5911,S,INDIANA,AVE,4924,20,WASHINGTON PARK,RM-5,Washington Park,"5911 S INDIANA AVE
CHICAGO, IL
(41.787102, -87.620637)"
20-15-303-027-0000,5922,S,PRAIRIE,AVE,4021,20,WASHINGTON PARK,RM-5,Washington Park,"5922 S PRAIRIE AVE
CHICAGO, IL
(41.786774, -87.619009)"
20-15-303-036-0000,5952,S,PRAIRIE,AVE,4021,20,WASHINGTON PARK,RM-5,Washington Park,"5952 S PRAIRIE AVE
CHICAGO, IL
(41.78599, -87.618983)"
20-15-304-012-0000,5949,S,PRAIRIE,AVE,2594,20,WASHINGTON PARK,RM-5,Washington Park,"5949 S PRAIRIE AVE
CHICAGO, IL
(41.78607, -87.618985)"
20-15-304-016-0000,5957,S,PRAIRIE,AVE,1818,20,WASHINGTON PARK,RM-5,Washington Park,"5957 S PRAIRIE AVE
CHICAGO, IL
(41.785879, -87.618979)"
20-15-304-017-0000,5959,S,PRAIRIE,AVE,1819,20,WASHINGTON PARK,RM-5,Washington Park,"5959 S PRAIRIE AVE
CHICAGO, IL
(41.785836, -87.618977)"
20-15-304-020-0000,314,E,60,ST,4401,20,WASHINGTON PARK,RM-5,Washington Park,"314 E 60 ST
CHICAGO, IL
(41.785648, -87.618241)"
20-15-304-023-0000,5908,S,CALUMET,AVE,3394,20,WASHINGTON PARK,RM-5,Washington Park,"5908 S CALUMET AVE
CHICAGO, IL
(41.787177, -87.617401)"
20-15-304-024-0000,5912,S,CALUMET,AVE,5084,20,WASHINGTON PARK,RM-5,Washington Park,"5912 S CALUMET AVE
CHICAGO, IL
(41.787304, -87.617402)"
20-15-304-025-0000,5914,S,CALUMET,AVE,5092,20,WASHINGTON PARK,RM-5,Washington Park,"5914 S CALUMET AVE
CHICAGO, IL
(41.787266, -87.617402)"
20-15-304-029-0000,5932,S,CALUMET,AVE,5949,20,WASHINGTON PARK,RM-5,Washington Park,"5932 S CALUMET AVE
CHICAGO, IL
(41.786924, -87.617399)"
20-15-304-030-0000,5932,S,CALUMET,AVE,5933,20,WASHINGTON PARK,RM-5,Washington Park,"5932 S CALUMET AVE
CHICAGO, IL
(41.786924, -87.617399)"
20-15-305-004-0000,5905,S,CALUMET,AVE,4043,20,WASHINGTON PARK,RM-5,Washington Park,"5905 S CALUMET AVE
CHICAGO, IL
(41.787263, -87.617402)"
20-15-305-006-0000,5915,S,CALUMET,AVE,8037,20,WASHINGTON PARK,RM-5,Washington Park,"5915 S CALUMET AVE
CHICAGO, IL
(41.787022, -87.6174)"
20-15-306-009-0000,6029,S,STATE,ST,3999,20,WASHINGTON PARK,B1-2,Washington Park,"6029 S STATE ST
CHICAGO, IL
(41.784618, -87.625467)"
20-15-306-010-0000,6031,S,STATE,ST,3960,20,WASHINGTON PARK,B1-2,Washington Park,"6031 S STATE ST
CHICAGO, IL
(41.78496, -87.625476)"
20-15-306-013-0000,6039,S,STATE,ST,4440,20,WASHINGTON PARK,B1-2,Washington Park,"6039 S STATE ST
CHICAGO, IL
(41.784332, -87.625459)"
20-15-306-018-0000,19,E,60,ST,2970,20,WASHINGTON PARK,RT-4,Washington Park,"19 E 60 ST
CHICAGO, IL
(41.785537, -87.62473)"
20-15-306-019-0000,6000,S,WABASH,AVE,4992,20,WASHINGTON PARK,RT-4,Washington Park,"6000 S WABASH AVE
CHICAGO, IL
(41.785371, -87.623856)"
20-15-306-020-0000,6004,S,WABASH,AVE,3981,20,WASHINGTON PARK,RT-4,Washington Park,"6004 S WABASH AVE
CHICAGO, IL
(41.785275, -87.623853)"
20-15-306-034-0000,6011,S,STATE,ST,3880,20,WASHINGTON PARK,B1-2,Washington Park,"6011 S STATE ST
CHICAGO, IL
(41.785097, -87.62548)"
20-15-307-002-0000,6009,S,WABASH,,6780,20,WASHINGTON PARK,RT-4,Washington Park,"6009 S WABASH
CHICAGO, IL
(41.785408, -87.623857)"
20-15-308-010-0000,6014,S,INDIANA,AVE,9182,20,WASHINGTON PARK,RM-5,Washington Park,"6014 S INDIANA AVE
CHICAGO, IL
(41.785035, -87.620593)"
20-15-308-015-0000,6038,S,INDIANA,AVE,4595,20,WASHINGTON PARK,RM-5,Washington Park,"6038 S INDIANA AVE
CHICAGO, IL
(41.784413, -87.620579)"
20-15-309-018-0000,6024,S,PRAIRIE,AVE,9505,20,WASHINGTON PARK,RM-5,Washington Park,"6024 S PRAIRIE AVE
CHICAGO, IL
(41.785178, -87.618966)"
20-15-309-027-0000,6001,S,INDIANA,AVE,6456,20,WASHINGTON PARK,RM-5,Washington Park,"6001 S INDIANA AVE
CHICAGO, IL
(41.78545, -87.620603)"
20-15-309-028-0000,6001,S,INDIANA,AVE,6067,20,WASHINGTON PARK,RM-5,Washington Park,"6001 S INDIANA AVE
CHICAGO, IL
(41.78545, -87.620603)"
20-15-309-032-0000,218,E,61ST,ST,3943,20,WASHINGTON PARK,RS-3,Washington Park,"218 E 61ST ST
CHICAGO, IL
(41.783803, -87.61985)"
20-15-310-001-0000,309,E,60TH,ST,8429,20,WASHINGTON PARK,RM-5,Washington Park,"309 E 60TH ST
CHICAGO, IL
(41.785637, -87.618553)"
20-15-310-002-0000,6009,S,PRAIRIE,AVE,6052,20,WASHINGTON PARK,RM-5,Washington Park,"6009 S PRAIRIE AVE
CHICAGO, IL
(41.78526, -87.618966)"
20-15-310-004-0000,6015,S,PRAIRIE,AVE,10373,20,WASHINGTON PARK,RM-5,Washington Park,"6015 S PRAIRIE AVE
CHICAGO, IL
(41.7851, -87.618965)"
20-15-310-005-0000,6019,S,PRAIRIE,AVE,4068,20,WASHINGTON PARK,RM-5,Washington Park,"6019 S PRAIRIE AVE
CHICAGO, IL
(41.784985, -87.618964)"
20-15-310-006-0000,6021,S,PRAIRIE,AVE,4068,20,WASHINGTON PARK,RM-5,Washington Park,"6021 S PRAIRIE AVE
CHICAGO, IL
(41.784913, -87.618963)"
20-15-310-013-0000,300,E,61,ST,3017,20,WASHINGTON PARK,RM-5,Washington Park,"300 E 61 ST
CHICAGO, IL
(41.783811, -87.618952)"
20-15-310-014-0000,302,E,61,ST,4066,20,WASHINGTON PARK,RM-5,Washington Park,"302 E 61 ST
CHICAGO, IL
(41.783815, -87.618824)"
20-15-310-015-0000,304,E,61ST,ST,3591,20,WASHINGTON PARK,RM-5,Washington Park,"304 E 61ST ST
CHICAGO, IL
(41.783823, -87.618525)"
20-15-310-016-0000,304,E,61ST,ST,2825,20,WASHINGTON PARK,RM-5,Washington Park,"304 E 61ST ST
CHICAGO, IL
(41.783823, -87.618525)"
20-15-310-017-0000,304,E,61ST,ST,5725,20,WASHINGTON PARK,RM-5,Washington Park,"304 E 61ST ST
CHICAGO, IL
(41.783823, -87.618525)"
20-15-310-018-0000,6006,S,CALUMET,AVE,16248,20,WASHINGTON PARK,RM-5,Washington Park,"6006 S CALUMET AVE
CHICAGO, IL
(41.785557, -87.617386)"
20-15-310-019-0000,6012,S,CALUMET,AVE,3541,20,WASHINGTON PARK,RM-5,Washington Park,"6012 S CALUMET AVE
CHICAGO, IL
(41.785179, -87.617371)"
20-15-310-021-0000,6020,S,CALUMET,AVE,7085,20,WASHINGTON PARK,RM-5,Washington Park,"6020 S CALUMET AVE
CHICAGO, IL
(41.784973, -87.617362)"
20-15-310-023-0000,6026,S,CALUMET,AVE,3923,20,WASHINGTON PARK,RM-5,Washington Park,"6026 S CALUMET AVE
CHICAGO, IL
(41.785182, -87.617371)"
20-15-310-024-0000,6030,S,CALUMET,AVE,3918,20,WASHINGTON PARK,RM-5,Washington Park,"6030 S CALUMET AVE
CHICAGO, IL
(41.784692, -87.617351)"
20-15-310-025-0000,6032,S,CALUMET,AVE,3919,20,WASHINGTON PARK,RM-5,Washington Park,"6032 S CALUMET AVE
CHICAGO, IL
(41.784611, -87.617348)"
20-15-310-026-0000,6036,S,CALUMET,AVE,6218,20,WASHINGTON PARK,RM-5,Washington Park,"6036 S CALUMET AVE
CHICAGO, IL
(41.784498, -87.617343)"
20-15-310-027-0000,6040,S,CALUMET,AVE,7328,20,WASHINGTON PARK,RM-5/B2-1,Washington Park,"6040 S CALUMET AVE
CHICAGO, IL
(41.784353, -87.617338)"
20-15-310-028-0000,6046,S,CALUMET,AVE,8850,20,WASHINGTON PARK,B2-1,Washington Park,"6046 S CALUMET AVE
CHICAGO, IL
(41.784198, -87.617332)"
20-15-311-001-0000,6001,S,CALUMET,AVE,9623,20,WASHINGTON PARK,RM-5,Washington Park,"6001 S CALUMET AVE
CHICAGO, IL
(41.785363, -87.617378)"
20-15-311-002-0000,353,E,60TH,ST,4778,20,WASHINGTON PARK,RM-5,Washington Park,"353 E 60TH ST
CHICAGO, IL
(41.78567, -87.617256)"
20-15-311-003-0000,353,E,60TH,ST,4907,20,WASHINGTON PARK,RM-5,Washington Park,"353 E 60TH ST
CHICAGO, IL
(41.78567, -87.617256)"
20-15-311-005-0000,6019,S,CALUMET,AVE,12119,20,WASHINGTON PARK,RM-5,Washington Park,"6019 S CALUMET AVE
CHICAGO, IL
(41.785332, -87.617377)"
20-15-311-006-0000,6025,S,CALUMET,AVE,18396,20,WASHINGTON PARK,RM-5,Washington Park,"6025 S CALUMET AVE
CHICAGO, IL
(41.784724, -87.617352)"
20-15-311-007-0000,6037,S,CALUMET,AVE,5062,20,WASHINGTON PARK,RM-5,Washington Park,"6037 S CALUMET AVE
CHICAGO, IL
(41.784995, -87.617363)"
20-15-311-008-0000,6041,S,CALUMET,AVE,5090,20,WASHINGTON PARK,RM-5,Washington Park,"6041 S CALUMET AVE
CHICAGO, IL
(41.784409, -87.61734)"
20-15-311-009-0000,6045,S,CALUMET,AVE,5055,20,WASHINGTON PARK,RM-5,Washington Park,"6045 S CALUMET AVE
CHICAGO, IL
(41.784369, -87.617338)"
20-15-311-010-0000,6045,S,CALUMET,AVE,5174,20,WASHINGTON PARK,RM-5,Washington Park,"6045 S CALUMET AVE
CHICAGO, IL
(41.784369, -87.617338)"
20-15-311-011-0000,344,E,61,ST,14460,20,WASHINGTON PARK,B2-1,Washington Park,"344 E 61 ST
CHICAGO, IL
(41.783836, -87.617166)"
20-15-311-012-0000,6000,S,KING,DR,21085,20,WASHINGTON PARK,RM-5,Washington Park,"6000 S KING DR
CHICAGO, IL
(41.785384, -87.615768)"
20-15-311-013-0000,6012,S,DR MARTIN LUTHER KING JR,DR,11229,20,WASHINGTON PARK,RM-5,Washington Park,"6012 S DR MARTIN LUTHER KING JR DR
CHICAGO, IL
"
20-15-311-014-0000,6018,S,KING DR,DR,8801,20,WASHINGTON PARK,RM-5,Washington Park,"6018 S KING DR DR
CHICAGO, IL
"
20-15-311-016-0000,6036,S,KING DR,DR,22585,20,WASHINGTON PARK,RM-5,Washington Park,"6036 S KING DR DR
CHICAGO, IL
"
20-15-312-007-0000,6133,S,STATE,ST,14202,20,WASHINGTON PARK,M1-2,Washington Park,"6133 S STATE ST
CHICAGO, IL
(41.783166, -87.625431)"
20-15-312-008-0000,6133,S,STATE,ST,23074,20,WASHINGTON PARK,M1-2,Washington Park,"6133 S STATE ST
CHICAGO, IL
(41.783166, -87.625431)"
20-15-312-009-0000,6155,S,STATE,ST,22654,20,WASHINGTON PARK,M1-2,Washington Park,"6155 S STATE ST
CHICAGO, IL
(41.782695, -87.625421)"
20-15-312-010-0000,6133,S,STATE,ST,16995,20,WASHINGTON PARK,M1-2,Washington Park,"6133 S STATE ST
CHICAGO, IL
(41.783166, -87.625431)"
20-15-312-011-0000,6133,S,STATE,ST,8859,20,WASHINGTON PARK,M1-2,Washington Park,"6133 S STATE ST
CHICAGO, IL
(41.783166, -87.625431)"
20-15-312-020-0000,6241,S,STATE,ST,2526,20,WASHINGTON PARK,C1-2,Washington Park,"6241 S STATE ST
CHICAGO, IL
(41.780604, -87.625301)"
20-15-312-025-0000,6255,S,STATE,ST,3786,20,WASHINGTON PARK,C1-2,Washington Park,"6255 S STATE ST
CHICAGO, IL
(41.780149, -87.625291)"
20-15-312-026-0000,6257,S,STATE,ST,6704,20,GREATER GRAND CROSSING/WASHIN,M1-2/C1-2,Washington Park,"6257 S STATE ST
CHICAGO, IL
(41.780099, -87.625291)"
20-15-312-030-0000,6133,S,STATE,ST,10986,20,WASHINGTON PARK,M1-2,Washington Park,"6133 S STATE ST
CHICAGO, IL
(41.783166, -87.625431)"
20-15-312-031-0000,6133,S,STATE,ST,12031,20,WASHINGTON PARK,M1-2,Washington Park,"6133 S STATE ST
CHICAGO, IL
(41.783166, -87.625431)"
20-15-312-032-0000,6133,S,STATE,ST,5106,20,WASHINGTON PARK,M1-2,Washington Park,"6133 S STATE ST
CHICAGO, IL
(41.783166, -87.625431)"
20-15-312-033-0000,6133,S,STATE,ST,5620,20,WASHINGTON PARK,M1-2,Washington Park,"6133 S STATE ST
CHICAGO, IL
(41.783166, -87.625431)"
20-15-312-034-0000,6156,S,WABASH,AVE,50903,20,WASHINGTON PARK,M1-2,Washington Park,"6156 S WABASH AVE
CHICAGO, IL
(41.781722, -87.623748)"
20-15-312-039-0000,6246,S,WABASH,AVE,10553,20,WASHINGTON PARK,C1-2,Washington Park,"6246 S WABASH AVE
CHICAGO, IL
(41.780555, -87.623728)"
20-15-312-041-0000,6120,S,WABASH,AVE,20490,20,WASHINGTON PARK,M1-2,Washington Park,"6120 S WABASH AVE
CHICAGO, IL
(41.783493, -87.623813)"
20-15-312-042-0000,6133,S,STATE,ST,38639,20,WASHINGTON PARK,M1-2,Washington Park,"6133 S STATE ST
CHICAGO, IL
(41.783166, -87.625431)"
20-15-313-057-0000,6238,S,MICHIGAN,AVE,3751,20,WASHINGTON PARK,RT-4,Washington Park,"6238 S MICHIGAN AVE
CHICAGO, IL
(41.781069, -87.622122)"
20-15-313-058-0000,6240,S,MICHIGAN,AVE,3752,20,WASHINGTON PARK,RT-4,Washington Park,"6240 S MICHIGAN AVE
CHICAGO, IL
(41.781036, -87.622122)"
20-15-314-012-0000,6151,S,MICHIGAN,AVE,16063,20,WASHINGTON PARK,RM-5,Washington Park,"6151 S MICHIGAN AVE
CHICAGO, IL
(41.782149, -87.622155)"
20-15-314-058-0000,6238,S,INDIANA,AVE,4394,20,WASHINGTON PARK,RM-5,Washington Park,"6238 S INDIANA AVE
CHICAGO, IL
(41.780957, -87.620617)"
20-15-314-075-0000,6238,S,INDIANA,AVE,3911,20,WASHINGTON PARK,RM-5,Washington Park,"6238 S INDIANA AVE
CHICAGO, IL
(41.780957, -87.620617)"
20-15-315-004-0000,217,E,61ST,ST,18369,20,WASHINGTON PARK,RM-5,Washington Park,"217 E 61ST ST
CHICAGO, IL
(41.783804, -87.619762)"
20-15-315-008-0000,6141,S,INDIANA,,15883,20,WASHINGTON PARK,RM-5,Washington Park,"6141 S INDIANA
CHICAGO, IL
(41.782608, -87.620526)"
20-15-315-009-0000,6153,S,INDIANA,AVE,16517,20,WASHINGTON PARK,RM-5,Washington Park,"6153 S INDIANA AVE
CHICAGO, IL
(41.782373, -87.620446)"
20-15-315-016-0000,6217,S,INDIANA,AVE,15881,20,WASHINGTON PARK,RM-5,Washington Park,"6217 S INDIANA AVE
CHICAGO, IL
(41.781237, -87.620405)"
20-15-315-021-0000,6235,S,INDIANA,AVE,3969,20,WASHINGTON PARK,RM-5,Washington Park,"6235 S INDIANA AVE
CHICAGO, IL
(41.781028, -87.6204)"
20-15-315-035-0000,6100,S,PRAIRIE,AVE,7832,20,WASHINGTON PARK,RM-5,Washington Park,"6100 S PRAIRIE AVE
CHICAGO, IL
(41.783612, -87.618948)"
20-15-315-036-0000,6102,S,PRAIRIE,AVE,10704,20,WASHINGTON PARK,RM-5,Washington Park,"6102 S PRAIRIE AVE
CHICAGO, IL
(41.783774, -87.618951)"
20-15-315-037-0000,6114,S,PRAIRIE,AVE,3516,20,WASHINGTON PARK,RM-5,Washington Park,"6114 S PRAIRIE AVE
CHICAGO, IL
(41.783283, -87.61894)"
20-15-315-038-0000,6118,S,PRAIRIE,AVE,3255,20,WASHINGTON PARK,RM-5,Washington Park,"6118 S PRAIRIE AVE
CHICAGO, IL
(41.783197, -87.618938)"
20-15-315-039-0000,6120,S,PRAIRIE,AVE,6466,20,WASHINGTON PARK,RM-5,Washington Park,"6120 S PRAIRIE AVE
CHICAGO, IL
(41.783145, -87.618937)"
20-15-315-040-0000,6124,S,PRAIRIE,AVE,3345,20,WASHINGTON PARK,RM-5,Washington Park,"6124 S PRAIRIE AVE
CHICAGO, IL
(41.782993, -87.618934)"
20-15-315-059-0000,6224,S,PRAIRIE,AVE,20147,20,WASHINGTON PARK,RM-5,Washington Park,"6224 S PRAIRIE AVE
CHICAGO, IL
(41.781069, -87.618891)"
20-15-316-003-0000,313,E,61ST,,4772,20,WASHINGTON PARK,B2-1,Washington Park,"313 E 61ST
CHICAGO, IL
(41.783833, -87.618183)"
20-15-316-006-0000,6129,S,PRAIRIE,AVE,8162,20,WASHINGTON PARK,RM-5,Washington Park,"6129 S PRAIRIE AVE
CHICAGO, IL
(41.782879, -87.618931)"
20-15-316-017-0000,6231,S,PRAIRIE,AVE,4102,20,WASHINGTON PARK,RM-5,Washington Park,"6231 S PRAIRIE AVE
CHICAGO, IL
(41.781014, -87.61889)"
20-15-316-018-0000,6233,S,PRAIRIE,AVE,4106,20,WASHINGTON PARK,RM-5,Washington Park,"6233 S PRAIRIE AVE
CHICAGO, IL
(41.780949, -87.618888)"
20-15-317-001-0000,6109,S,CALUMET,AVE,27165,20,WASHINGTON PARK,RT-3.5,Washington Park,"6109 S CALUMET AVE
CHICAGO, IL
(41.783467, -87.617289)"
20-15-317-002-0000,6119,S,CALUMET,AVE,7998,20,WASHINGTON PARK,RT-3.5,Washington Park,"6119 S CALUMET AVE
CHICAGO, IL
(41.783105, -87.617268)"
20-15-317-031-0000,361,E,61,ST,8491,20,WASHINGTON PARK,B2-1/B1-2,Washington Park,"361 E 61 ST
CHICAGO, IL
(41.783853, -87.616409)"
20-15-401-001-0000,6005,S,KING DR,DR,13611,20,WOODLAWN,RM-5,West Woodlawn,"6005 S KING DR DR
CHICAGO, IL
"
20-15-401-010-0000,6029,S,KING DR,DR,7566,20,WOODLAWN,RM-5,West Woodlawn,"6029 S KING DR DR
CHICAGO, IL
"
20-15-401-011-0000,6033,S,KING,DR,7567,20,WOODLAWN,RM-5,West Woodlawn,"6033 S KING DR
CHICAGO, IL
(41.785079, -87.615759)"
20-15-401-024-0000,6032,S,VERNON,AVE,6247,20,WOODLAWN,RM-5,West Woodlawn,"6032 S VERNON AVE
CHICAGO, IL
(41.78503, -87.614448)"
20-15-401-025-0000,6036,S,VERNON,AVE,6264,20,WOODLAWN,RM-5,West Woodlawn,"6036 S VERNON AVE
CHICAGO, IL
(41.784961, -87.614447)"
20-15-402-006-0000,6029,S,VERNON,AVE,3123,20,WOODLAWN,RM-5,West Woodlawn,"6029 S VERNON AVE
CHICAGO, IL
(41.784843, -87.614446)"
20-15-402-013-0000,6047,S,VERNON,AVE,16675,20,WOODLAWN,B2-1,West Woodlawn,"6047 S VERNON AVE
CHICAGO, IL
(41.784789, -87.614446)"
20-15-402-028-0000,451,E,60TH,ST,7317,20,WOODLAWN,RM-5,West Woodlawn,"451 E 60TH ST
CHICAGO, IL
(41.785702, -87.614106)"
20-15-403-003-0000,507,E,60TH,ST,3074,20,WOODLAWN,RM-5,West Woodlawn,"507 E 60TH ST
CHICAGO, IL
(41.785735, -87.612916)"
20-15-403-017-0000,6041,S,EBERHART,AVE,3122,20,WOODLAWN,RM-5,West Woodlawn,"6041 S EBERHART AVE
CHICAGO, IL
(41.784544, -87.613271)"
20-15-403-026-0000,6034,S,RHODES,AVE,3123,20,WOODLAWN,RM-5,West Woodlawn,"6034 S RHODES AVE
CHICAGO, IL
(41.784684, -87.612076)"
20-15-404-001-0000,533,E,60,ST,8403,20,WOODLAWN,RM-5,West Woodlawn,"533 E 60 ST
CHICAGO, IL
(41.78575, -87.612023)"
20-15-404-006-0000,553,E,60,ST,8293,20,WOODLAWN,RM-5,West Woodlawn,"553 E 60 ST
CHICAGO, IL
(41.785754, -87.611694)"
20-15-404-007-0000,6017,S,RHODES,AVE,4365,20,WOODLAWN,RM-5,West Woodlawn,"6017 S RHODES AVE
CHICAGO, IL
(41.785168, -87.612097)"
20-15-404-008-0000,6021,S,RHODES,AVE,3396,20,WOODLAWN,RM-5,West Woodlawn,"6021 S RHODES AVE
CHICAGO, IL
(41.78507, -87.612092)"
20-15-404-022-0000,6026,S,ST LAWRENCE,AVE,3404,20,WOODLAWN,RM-5,West Woodlawn,"6026 S ST LAWRENCE AVE
CHICAGO, IL
(41.784916, -87.610907)"
20-15-404-032-0000,6050,S,ST LAWRENCE,AVE,5232,20,WOODLAWN,B2-1,West Woodlawn,"6050 S ST LAWRENCE AVE
CHICAGO, IL
(41.78485, -87.610905)"
20-15-405-007-0000,6000,S,CHAMPLAIN,AVE,7199,20,WOODLAWN,RM-5,West Woodlawn,"6000 S CHAMPLAIN AVE
CHICAGO, IL
(41.785441, -87.609702)"
20-15-405-023-0000,6038,S,CHAMPLAIN,AVE,3482,20,WOODLAWN,RM-5,West Woodlawn,"6038 S CHAMPLAIN AVE
CHICAGO, IL
(41.78453, -87.609666)"
20-15-405-024-0000,6042,S,CHAMPLAIN,AVE,3483,20,WOODLAWN,RM-5,West Woodlawn,"6042 S CHAMPLAIN AVE
CHICAGO, IL
(41.784465, -87.609665)"
20-15-405-029-0000,618,E,61ST,ST,9138,20,WOODLAWN,B2-1,West Woodlawn,"618 E 61ST ST
CHICAGO, IL
(41.783978, -87.609923)"
20-15-406-007-0000,6043,S,CHAMPLAIN,AVE,6503,20,WOODLAWN,RM-5,West Woodlawn,"6043 S CHAMPLAIN AVE
CHICAGO, IL
(41.78442, -87.609664)"
20-15-408-008-0000,6141,S,DR MARTIN LUTHER KING JR,DR,6095,20,WOODLAWN,RM-5,West Woodlawn,"6141 S DR MARTIN LUTHER KING JR DR
CHICAGO, IL
"
20-15-408-022-0000,6142,S,VERNON,AVE,5105,20,WOODLAWN,RM-5,West Woodlawn,"6142 S VERNON AVE
CHICAGO, IL
(41.782678, -87.614468)"
20-15-411-018-0000,6157,S,RHODES,AVE,7337,20,WOODLAWN,RM-5,West Woodlawn,"6157 S RHODES AVE
CHICAGO, IL
(41.782886, -87.61207)"
20-15-412-001-0000,601,E,61,ST,6983,20,WOODLAWN,B2-1/RM-5,West Woodlawn,"601 E 61 ST
CHICAGO, IL
(41.783961, -87.610873)"
20-15-413-019-0000,6110,S,LANGLEY,AVE,3671,20,WOODLAWN,RM-5,West Woodlawn,"6110 S LANGLEY AVE
CHICAGO, IL
(41.783631, -87.608473)"
20-15-414-010-0000,6133,S,LANGLEY,AVE,3063,20,WOODLAWN,RM-5,West Woodlawn,"6133 S LANGLEY AVE
CHICAGO, IL
(41.782988, -87.60845)"
20-15-414-026-0000,6130,S,EVANS,AVE,3069,20,WOODLAWN,RM-5,West Woodlawn,"6130 S EVANS AVE
CHICAGO, IL
(41.783032, -87.607224)"
20-15-416-020-0000,6238,S,VERNON,AVE,3731,20,WOODLAWN,RM-5,West Woodlawn,"6238 S VERNON AVE
CHICAGO, IL
(41.780945, -87.614443)"
20-15-416-024-0000,410,E,63RD,ST,3029,20,WOODLAWN,B3-3,West Woodlawn,"410 E 63RD ST
CHICAGO, IL
(41.780264, -87.614941)"
20-15-416-025-0000,402,E,63RD,ST,3030,20,WOODLAWN,B3-3,West Woodlawn,"402 E 63RD ST
CHICAGO, IL
(41.780267, -87.614784)"
20-15-416-026-0000,6246,S,VERNON,AVE,14803,20,WOODLAWN,B3-3,West Woodlawn,"6246 S VERNON AVE
CHICAGO, IL
(41.780562, -87.614441)"
20-15-417-001-0000,6201,S,VERNON,AVE,13059,20,WOODLAWN,RM-5,West Woodlawn,"6201 S VERNON AVE
CHICAGO, IL
(41.781888, -87.614448)"
20-15-418-033-0000,512,E,63RD,ST,18110,20,WOODLAWN,B3-3,West Woodlawn,"512 E 63RD ST
CHICAGO, IL
(41.78031, -87.612343)"
20-15-419-021-0000,6224,S,ST LAWRENCE,AVE,3582,20,WOODLAWN,RM-5,West Woodlawn,"6224 S ST LAWRENCE AVE
CHICAGO, IL
(41.781411, -87.610811)"
20-15-419-027-0000,6249,S,RHODES,AVE,4802,20,WOODLAWN,B3-3,West Woodlawn,"6249 S RHODES AVE
CHICAGO, IL
(41.780736, -87.612044)"
20-15-419-028-0000,6249,S,RHODES,AVE,10451,20,WOODLAWN,B3-3,West Woodlawn,"6249 S RHODES AVE
CHICAGO, IL
(41.780736, -87.612044)"
20-15-419-029-0000,6249,S,RHODES,AVE,3082,20,WOODLAWN,B3-3,West Woodlawn,"6249 S RHODES AVE
CHICAGO, IL
(41.780736, -87.612044)"
20-15-420-001-0000,607,E,62,ST,9359,20,WOODLAWN,RM-5,West Woodlawn,"607 E 62 ST
CHICAGO, IL
(41.782134, -87.610381)"
20-15-420-030-0000,600,E,63RD,ST,32226,20,WOODLAWN,B3-3,West Woodlawn,"600 E 63RD ST
CHICAGO, IL
(41.780332, -87.610804)"
20-15-421-016-0000,6200,S,LANGLEY,,9240,20,WOODLAWN,RM-5,West Woodlawn,"6200 S LANGLEY
CHICAGO, IL
(41.782182, -87.60842)"
20-15-421-031-0000,652,E,63RD,ST,12472,20,WOODLAWN,B3-3,West Woodlawn,"652 E 63RD ST
CHICAGO, IL
(41.78037, -87.608781)"
20-15-421-032-0000,654,E,63RD,ST,6894,20,WOODLAWN,B3-3,West Woodlawn,"654 E 63RD ST
CHICAGO, IL
(41.780362, -87.60909)"
20-15-422-027-0000,700,E,63RD,ST,19493,20,WOODLAWN,B3-3,West Woodlawn,"700 E 63RD ST
CHICAGO, IL
(41.780385, -87.607952)"
20-16-100-008-0000,5525,S,HALSTED,ST,3053,20,ENGLEWOOD,B3-2,47th/Halsted,"5525 S HALSTED ST
CHICAGO, IL
(41.793003, -87.645115)"
